ID,Start Position X,Start Position Y,Start Position Z,End Position X,End Position Y,End Position Z,Type,Time Spent,Simulation
0,(-41.0, 1.5, -10.3),(21.1, 1.5, -14.9),NonCAV,0,0
1,(-16.6, 1.5, -11.8),(-15.0, 1.5, 13.7),CAV,0,0
2,(-15.0, 1.5, -15.2),(19.8, 1.5, -11.6),CAV,0,0
3,(40.6, 1.5, 38.6),(-15.7, 1.5, -39.6),NonCAV,0,0
4,(23.2, 1.5, -10.2),(41.0, 1.5, 13.4),CAV,0,0
5,(21.1, 1.5, 13.3),(-15.8, 1.5, 38.8),NonCAV,0,0
6,(-40.9, 1.5, -39.5),(-41.2, 1.5, 21.9),CAV,0,0
7,(-40.9, 1.5, -39.5),(20.4, 1.5, -39.8),NonCAV,0,0
8,(-11.6, 1.5, 38.9),(-12.8, 1.5, -37.8),CAV,0,0
9,(40.6, 1.5, 38.6),(-11.6, 1.5, 38.9),NonCAV,0,0
10,(23.1, 1.5, -37.8),(-15.0, 1.5, 13.7),NonCAV,0,0
11,(-11.3, 1.5, 14.7),(41.7, 1.5, -39.5),NonCAV,0,0
12,(19.8, 1.5, 16.5),(41.7, 1.5, -39.5),NonCAV,0,0
13,(-40.9, 1.5, 38.5),(23.4, 1.5, -14.9),CAV,0,0
14,(21.1, 1.5, 36.8),(21.1, 1.5, -14.9),CAV,0,0
15,(-11.7, 1.5, -41.7),(-16.6, 1.5, -11.8),NonCAV,0,0
16,(23.1, 1.5, -37.8),(-15.0, 1.5, 13.7),CAV,0,0
17,(21.1, 1.5, 36.8),(-15.0, 1.5, -10.1),CAV,0,0
18,(-42.6, 1.5, 40.6),(-41.0, 1.5, -10.3),NonCAV,0,0
19,(-42.6, 1.5, 40.6),(-15.0, 1.5, -10.1),NonCAV,0,0
20,(-15.0, 1.5, -15.2),(23.1, 1.5, -37.8),CAV,0,0
21,(-41.0, 1.5, -10.3),(-15.0, 1.5, 13.7),CAV,0,0
22,(42.9, 1.5, 40.1),(-15.7, 1.5, -39.6),CAV,0,0
23,(21.1, 1.5, -14.9),(23.1, 1.5, 13.5),NonCAV,0,0
24,(-42.6, 1.5, 40.6),(-41.0, 1.5, -10.3),NonCAV,0,0
25,(-40.9, 1.5, -39.5),(-15.7, 1.5, -39.6),CAV,0,0
26,(23.1, 1.5, -37.8),(-15.0, 1.5, 13.7),NonCAV,0,0
27,(-11.7, 1.5, -41.7),(41.7, 1.5, -39.5),NonCAV,0,0
28,(24.8, 1.5, 14.5),(-40.9, 1.5, -39.5),CAV,0,0
29,(41.7, 1.5, -39.5),(23.4, 1.5, -14.9),NonCAV,0,0
