ID,Start Position X,Start Position Y,Start Position Z,End Position X,End Position Y,End Position Z,Type,Time Spent,Simulation
0,(-40.9, 1.5, 38.5),(-15.7, 1.5, -39.6),NonCAV,2,13
0,(-40.9, 1.5, 38.5),(-15.7, 1.5, -39.6),NonCAV,7,43
0,(-40.9, 1.5, 38.5),(-15.7, 1.5, -39.6),NonCAV,18,32
0,(-40.9, 1.5, 38.5),(-15.7, 1.5, -39.6),NonCAV,21,82
0,(-40.9, 1.5, 38.5),(-15.7, 1.5, -39.6),NonCAV,24,20
0,(-40.9, 1.5, 38.5),(-15.7, 1.5, -39.6),NonCAV,26,54
0,(-40.9, 1.5, 38.5),(-15.7, 1.5, -39.6),NonCAV,32,2
0,(-40.9, 1.5, 38.5),(-15.7, 1.5, -39.6),NonCAV,34,83
0,(-40.9, 1.5, 38.5),(-15.7, 1.5, -39.6),NonCAV,38,54
0,(-40.9, 1.5, 38.5),(-15.7, 1.5, -39.6),NonCAV,39,11
0,(-40.9, 1.5, 38.5),(-15.7, 1.5, -39.6),NonCAV,40,39
0,(-40.9, 1.5, 38.5),(-15.7, 1.5, -39.6),NonCAV,43,96
0,(-40.9, 1.5, 38.5),(-15.7, 1.5, -39.6),NonCAV,46,94
0,(-40.9, 1.5, 38.5),(-15.7, 1.5, -39.6),NonCAV,47,42
0,(-40.9, 1.5, 38.5),(-15.7, 1.5, -39.6),NonCAV,49,45
0,(-40.9, 1.5, 38.5),(-15.7, 1.5, -39.6),NonCAV,55,19
0,(-40.9, 1.5, 38.5),(-15.7, 1.5, -39.6),NonCAV,61,33
0,(-40.9, 1.5, 38.5),(-15.7, 1.5, -39.6),NonCAV,65,43
0,(-40.9, 1.5, 38.5),(-15.7, 1.5, -39.6),NonCAV,66,6
0,(-40.9, 1.5, 38.5),(-15.7, 1.5, -39.6),NonCAV,70,59
0,(-40.9, 1.5, 38.5),(-15.7, 1.5, -39.6),NonCAV,71,71
0,(-40.9, 1.5, 38.5),(-15.7, 1.5, -39.6),NonCAV,73,82
0,(-40.9, 1.5, 38.5),(-15.7, 1.5, -39.6),NonCAV,75,40
0,(-40.9, 1.5, 38.5),(-15.7, 1.5, -39.6),NonCAV,80,91
0,(-40.9, 1.5, 38.5),(-15.7, 1.5, -39.6),NonCAV,81,20
0,(-40.9, 1.5, 38.5),(-15.7, 1.5, -39.6),NonCAV,84,33
0,(-40.9, 1.5, 38.5),(-15.7, 1.5, -39.6),NonCAV,86,86
0,(-40.9, 1.5, 38.5),(-15.7, 1.5, -39.6),NonCAV,88,75
0,(-40.9, 1.5, 38.5),(-15.7, 1.5, -39.6),NonCAV,90,88
0,(-40.9, 1.5, 38.5),(-15.7, 1.5, -39.6),NonCAV,91,5
0,(-40.9, 1.5, 38.5),(-15.7, 1.5, -39.6),NonCAV,92,30
0,(-40.9, 1.5, 38.5),(-15.7, 1.5, -39.6),NonCAV,93,80
0,(-40.9, 1.5, 38.5),(-15.7, 1.5, -39.6),NonCAV,100,86
0,(-40.9, 1.5, 38.5),(-15.7, 1.5, -39.6),NonCAV,101,24
0,(-40.9, 1.5, 38.5),(-15.7, 1.5, -39.6),NonCAV,103,33
0,(-40.9, 1.5, 38.5),(-15.7, 1.5, -39.6),NonCAV,104,19
0,(-40.9, 1.5, 38.5),(-15.7, 1.5, -39.6),NonCAV,111,42
0,(-40.9, 1.5, 38.5),(-15.7, 1.5, -39.6),NonCAV,113,67
0,(-40.9, 1.5, 38.5),(-15.7, 1.5, -39.6),NonCAV,115,70
0,(-40.9, 1.5, 38.5),(-15.7, 1.5, -39.6),NonCAV,117,87
0,(-40.9, 1.5, 38.5),(-15.7, 1.5, -39.6),NonCAV,123,97
0,(-40.9, 1.5, 38.5),(-15.7, 1.5, -39.6),NonCAV,124,5
0,(-40.9, 1.5, 38.5),(-15.7, 1.5, -39.6),NonCAV,126,23
0,(-40.9, 1.5, 38.5),(-15.7, 1.5, -39.6),NonCAV,127,28
0,(-40.9, 1.5, 38.5),(-15.7, 1.5, -39.6),NonCAV,130,87
0,(-40.9, 1.5, 38.5),(-15.7, 1.5, -39.6),NonCAV,148,82
0,(-40.9, 1.5, 38.5),(-15.7, 1.5, -39.6),NonCAV,149,28
0,(-40.9, 1.5, 38.5),(-15.7, 1.5, -39.6),NonCAV,155,65
0,(-40.9, 1.5, 38.5),(-15.7, 1.5, -39.6),NonCAV,157,57
0,(-40.9, 1.5, 38.5),(-15.7, 1.5, -39.6),NonCAV,163,55
0,(-40.9, 1.5, 38.5),(-15.7, 1.5, -39.6),NonCAV,165,15
0,(-40.9, 1.5, 38.5),(-15.7, 1.5, -39.6),NonCAV,167,1
0,(-40.9, 1.5, 38.5),(-15.7, 1.5, -39.6),NonCAV,168,40
0,(-40.9, 1.5, 38.5),(-15.7, 1.5, -39.6),NonCAV,172,11
0,(-40.9, 1.5, 38.5),(-15.7, 1.5, -39.6),NonCAV,175,18
0,(-40.9, 1.5, 38.5),(-15.7, 1.5, -39.6),NonCAV,181,22
0,(-40.9, 1.5, 38.5),(-15.7, 1.5, -39.6),NonCAV,192,44
0,(-40.9, 1.5, 38.5),(-15.7, 1.5, -39.6),NonCAV,194,69
0,(-40.9, 1.5, 38.5),(-15.7, 1.5, -39.6),NonCAV,195,84
