ID,Start Position X,Start Position Y,Start Position Z,End Position X,End Position Y,End Position Z,Type,Time Spent,Simulation
0,(41.7, 1.5, -39.5),(-41.0, 1.5, -14.6),CAV,0,0
1,(-11.6, 1.5, 38.9),(-41.2, 1.5, 21.9),NonCAV,0,0
2,(-16.6, 1.5, -11.8),(-15.7, 1.5, -39.6),CAV,0,0
3,(19.8, 1.5, 40.3),(-15.0, 1.5, -37.9),CAV,0,0
4,(-40.9, 1.5, 38.5),(-11.8, 1.5, -39.7),CAV,0,0
5,(-39.5, 1.5, -13.6),(23.2, 1.5, -10.2),CAV,0,0
6,(41.0, 1.5, 13.4),(-15.0, 1.5, -10.1),NonCAV,0,0
7,(23.1, 1.5, -37.8),(-16.4, 1.5, -13.7),CAV,0,0
8,(-41.3, 1.5, 26.3),(-12.8, 1.5, -37.8),CAV,0,0
9,(24.8, 1.5, 14.5),(19.8, 1.5, -11.6),CAV,0,0
10,(-11.7, 1.5, -41.7),(19.8, 1.5, -11.6),NonCAV,0,0
11,(19.8, 1.5, 40.3),(19.7, 1.5, -13.7),CAV,0,0
12,(-11.7, 1.5, -41.7),(20.4, 1.5, -39.8),CAV,0,0
13,(21.1, 1.5, -14.9),(-15.0, 1.5, -15.2),NonCAV,0,0
14,(-16.6, 1.5, -11.8),(-16.6, 1.5, -11.8),CAV,0,0
15,(-43.1, 1.5, -41.3),(19.7, 1.5, -13.7),CAV,0,0
16,(-42.6, 1.5, 40.6),(-15.0, 1.5, -37.9),CAV,0,0
17,(41.7, 1.5, -39.5),(23.2, 1.5, -10.2),CAV,0,0
18,(-11.3, 1.5, 14.7),(-11.3, 1.5, -13.6),CAV,0,0
19,(-40.9, 1.5, -39.5),(41.7, 1.5, -39.5),CAV,0,0
